               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10675,            0.028178,            0.039648,                   0,                   0,                   0,                   0,            0.080548,            0.025431,              0.0297,              0.0991,              0.0001,              0.0001
                   1,            0.077548,            0.028203,            0.030488,                   0,                   0,                   0,                   0,            0.079794,            0.024729,            0.029636,            0.097297,          0.00029703,          0.00029703
                   2,            0.096716,             0.02936,            0.036781,                   0,                   0,                   0,                   0,            0.077906,            0.023913,            0.029862,             0.09549,           0.0004901,           0.0004901
                   3,             0.10102,            0.025779,            0.035529,                   0,                   0,                   0,                   0,            0.070789,            0.023574,            0.030738,            0.093679,          0.00067921,          0.00067921
                   4,            0.095493,            0.027511,            0.034846,                   0,                   0,                   0,                   0,            0.060363,            0.023828,            0.031891,            0.091864,          0.00086436,          0.00086436
                   5,            0.088975,            0.026873,            0.034357,                   0,                   0,                   0,                   0,            0.056146,            0.022845,            0.033481,            0.090046,           0.0010455,           0.0010455
                   6,             0.10278,            0.027345,            0.040989,                   0,                   0,                   0,                   0,            0.054404,            0.021697,            0.032371,            0.088223,           0.0012228,           0.0012228
                   7,            0.081683,            0.027923,            0.039416,            0.002907,                 0.1,           0.0027842,          0.00027842,            0.047177,            0.022076,            0.033368,            0.086396,            0.001396,            0.001396
                   8,            0.057665,             0.02399,            0.028457,           0.0030769,                 0.1,            0.001695,          0.00067801,            0.047401,            0.021563,            0.033765,            0.084565,           0.0015654,           0.0015654
                   9,             0.07295,            0.027326,            0.031693,                   0,                   0,                   0,                   0,            0.046675,            0.021124,            0.033333,            0.082731,           0.0017307,           0.0017307
                  10,            0.057635,              0.0279,             0.02833,                   0,                   0,                   0,                   0,            0.044912,            0.020808,            0.034066,            0.080892,           0.0018921,           0.0018921
                  11,            0.099389,            0.028044,             0.03813,                   0,                   0,                   0,                   0,            0.043239,            0.020826,             0.03508,             0.07905,           0.0020495,           0.0020495
                  12,            0.098395,            0.026584,            0.034391,           0.0030864,                 0.1,           0.0017485,           0.0003497,            0.045214,            0.020055,            0.036125,            0.077203,            0.002203,            0.002203
                  13,            0.066405,            0.025662,             0.03186,           0.0087336,                 0.2,           0.0084487,           0.0034407,            0.045017,            0.019851,             0.03753,            0.075353,           0.0023525,           0.0023525
