               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10372,            0.029761,            0.035938,           0.0032468,              0.0625,            0.016546,           0.0033093,            0.076353,            0.025323,            0.028004,              0.0991,              0.0001,              0.0001
                   1,            0.074597,            0.028659,            0.029861,           0.0033784,              0.0625,            0.031909,           0.0063818,            0.075227,             0.02481,            0.028028,            0.097297,          0.00029703,          0.00029703
                   2,             0.10146,            0.029489,            0.037154,           0.0029412,              0.0625,            0.031743,           0.0063485,            0.072567,             0.02416,            0.028247,             0.09549,           0.0004901,           0.0004901
                   3,            0.094023,             0.02642,            0.036984,            0.003125,              0.0625,            0.013437,           0.0026875,            0.073231,            0.022744,            0.027969,            0.093679,          0.00067921,          0.00067921
                   4,            0.072516,             0.02801,            0.031502,           0.0035971,               0.125,            0.003652,          0.00050085,            0.067699,            0.022413,            0.028128,            0.091864,          0.00086436,          0.00086436
                   5,            0.084322,            0.026284,            0.035815,           0.0014124,              0.0625,           0.0033208,          0.00066416,             0.06775,            0.021853,            0.028538,            0.090046,           0.0010455,           0.0010455
                   6,             0.11237,            0.028977,            0.038867,                   0,                   0,                   0,                   0,            0.062457,            0.021331,            0.028149,            0.088223,           0.0012228,           0.0012228
                   7,            0.086949,            0.025786,            0.035724,                   0,                   0,                   0,                   0,            0.053686,            0.021053,            0.027181,            0.086396,            0.001396,            0.001396
                   8,            0.084381,            0.024425,            0.036029,           0.0015723,              0.1875,           0.0016904,           0.0002616,             0.05041,            0.020835,            0.026816,            0.084565,           0.0015654,           0.0015654
                   9,            0.058677,            0.025563,            0.028986,           0.0016593,              0.1875,           0.0075916,           0.0016275,            0.048644,             0.02029,            0.026302,            0.082731,           0.0017307,           0.0017307
                  10,            0.083982,            0.028185,            0.034144,           0.0016593,              0.1875,            0.031952,           0.0063212,            0.047346,            0.019555,             0.02707,            0.080892,           0.0018921,           0.0018921
                  11,             0.10218,            0.026828,            0.060209,           0.0013298,              0.1875,            0.014252,           0.0016008,            0.044638,             0.01926,            0.027554,             0.07905,           0.0020495,           0.0020495
                  12,            0.072958,            0.029598,            0.036847,           0.0022727,              0.1875,            0.016683,           0.0035341,            0.042825,            0.019054,            0.027593,            0.077203,            0.002203,            0.002203
                  13,            0.073854,            0.023608,            0.036608,           0.0026481,              0.4375,            0.014465,           0.0038399,            0.041432,            0.018844,            0.027396,            0.075353,           0.0023525,           0.0023525
                  14,            0.076175,            0.026193,            0.042568,           0.0025901,              0.4375,            0.040043,           0.0087058,            0.040452,            0.018326,            0.026912,            0.073498,           0.0024981,           0.0024981
                  15,            0.079261,            0.026198,            0.039492,           0.0029765,               0.625,            0.082188,            0.021857,            0.039242,            0.017879,            0.026491,             0.07164,           0.0026396,           0.0026396
                  16,            0.067792,            0.025939,            0.034482,           0.0031433,              0.6875,            0.098617,            0.037796,            0.037425,            0.017591,            0.026442,            0.069777,           0.0027773,           0.0027773
                  17,            0.060001,            0.026708,             0.03354,           0.0033142,                0.75,             0.12277,            0.047177,            0.037225,            0.017015,             0.02548,            0.067911,           0.0029109,           0.0029109
                  18,            0.048859,            0.024756,            0.028835,           0.0035174,              0.9375,             0.05337,            0.021667,            0.037092,            0.016547,              0.0253,            0.066041,           0.0030407,           0.0030407
                  19,            0.048043,            0.029553,            0.029117,           0.0035631,                   1,            0.071424,            0.018217,            0.036724,            0.016125,            0.025239,            0.064166,           0.0031664,           0.0031664
                  20,            0.062521,            0.023904,            0.035858,           0.0035118,                   1,             0.17939,            0.035839,            0.035717,             0.01586,            0.025066,            0.062288,           0.0032882,           0.0032882
                  21,            0.048056,            0.023634,            0.027845,           0.0036059,               0.875,             0.21547,            0.065626,             0.03384,            0.015775,            0.024896,            0.060406,            0.003406,            0.003406
                  22,            0.050976,            0.026096,            0.030768,           0.0034123,              0.8125,             0.35612,            0.095728,            0.032732,            0.015541,            0.024523,             0.05852,           0.0035199,           0.0035199
                  23,            0.070402,            0.026123,            0.050005,           0.0034684,                   1,             0.40092,              0.1421,            0.031308,             0.01541,            0.024014,             0.05663,           0.0036298,           0.0036298
                  24,            0.059686,            0.027294,            0.036314,           0.0035223,                   1,             0.21595,             0.07187,            0.033636,            0.014855,            0.023593,            0.054736,           0.0037358,           0.0037358
                  25,            0.056809,            0.023922,            0.034591,           0.0036161,                   1,             0.34109,            0.083038,            0.036144,            0.014473,            0.023363,            0.052838,           0.0038378,           0.0038378
                  26,            0.074469,            0.030789,            0.035658,           0.0036114,                   1,             0.29826,            0.089465,            0.032976,            0.014466,            0.024273,            0.050936,           0.0039358,           0.0039358
